teacher_id,student_id
12435,12745
12479,13576
12479,13632
12479,13745
12489,10355
12489,12980
12500,10355
12504,13693
12504,13694
12522,4820
12522,10355
12522,11290
12522,13654
12522,13707
12532,8507
12532,12839
12533,10355
12533,12553
12553,4820
12553,8641
12553,10355
12553,12479
12553,12613
12553,13248
12553,13250
12553,13251
12553,13252
12553,13654
12584,12745
12584,13186
12602,5894
12606,9278
12606,12479
12613,4310
12613,12479
12613,13745
12613,13803
12617,4310
12625,9761
12629,7882
12629,12479
12653,12980
12741,4820
12741,10355
12741,12489
12741,12553
12741,13677
12741,13679
12742,7632
12743,7632
12743,9278
12743,12314
12745,12553
12745,13186
12745,13677
12775,12171
12776,12171
12777,12171
12800,8454
12838,1268
12839,10019
12839,13820
12906,13162
12980,10055
12980,10679
12982,9278
12982,12839
12982,12981
12983,13884
13111,2424
13139,9278
13152,9278
13186,4310
13186,8641
13186,10355
13216,11437
13218,3822
13246,12479
13248,13252
13248,13253
13249,8339
13251,10355
13282,12981
13575,12180
13576,8972
13576,9278
13576,11437
13576,12180
13576,13884
13577,12839
13598,12439
13599,13821
13647,12479
13647,13249
13652,6995
13654,3790
13654,9278
13654,13659
13659,9278
13662,6194
13667,7882
13667,11437
13677,10355
13678,12741
13678,13186
13678,13677
13679,4820
13679,8825
13679,10355
13679,12613
13680,12741
13685,12171
13686,8170
13686,10019
13686,11385
13686,11407
13686,12839
13686,13747
13686,13748
13686,13749
13686,13750
13688,13617
13689,7009
13692,12839
13692,13747
13692,13748
13692,13749
13692,13750
13693,13695
13694,13695
13707,8339
13707,8514
13707,8641
13707,12314
13707,12742
13707,12743
13707,13252
13707,13253
13707,13701
13721,12613
13736,6194
13747,12839
13748,12839
13748,13686
13749,8825
13749,12169
13767,13884
13773,332
13773,334
13773,1113
13773,5628
13774,13773
13793,12479
13795,9990
13796,4291
13796,8138
13796,10450
13796,12553
13798,4310
13798,12479
13806,8468
13806,12479
13807,12479
13808,11437
13808,12479
13811,8784
13817,13879
13822,12403
13827,2424
13828,13697
13828,13811
13855,11070
13860,12739
13879,9945
13885,11385
13889,9278
13892,3004
