community_id,lat,long,map_priority_level_id,map_display_name,map_display_name_script
286,,,5,Lho Chotritang,ལྷོ་ཆོས་ཁྲི་ཐང་།
287,35.91823,102.77701,5,Tseten,ཚེ་ཏན་དགོན།
288,36.11912,102.37356,5,Tak,སྟག།
289,36.052959,102.505148,5,Tuwa,མཐུ་བ།
290,35.9061864,102.5208564,5,Dentik,དན་ཏིག།
291,30.00733,91.26695,5,Neuzur,སྣེའུ་ཟུར།
293,,,5,Lhodrak Drowa Gon,ལྷོ་བྲག་སྒྲོ་བ་དགོན།
294,29.71033,91.14913,3,Purbuchok,ཕུར་བུ་ལྕོག།
295,29.40000,88.23333,5,Ngulchu Hermitage,དངུལ་ཆུ་རི་ཁྲོད།
296,35.95828,101.52969,5,Sekya Tashi Gepel Ling,སེ་ཀྱཱ་བཀྲ་ཤིས་དགེ་འཕེལ་གླིང་།
297,27.517797,88.963930,5,Sang Ngak Tekchen Choling,གསང་སྣགས་ཐེག་ཆེན་ཆོས་གླིང་།
298,29.23076,90.92873,5,Dakpo Dratsang,དྭགས་པོ་གྲྭ་ཚང་།
305,29.53252,90.91482,3,Rato,རྭ་སྟོད།
306,,,5,Nyetang Longdol Hermitage,མཉེས་ཐང་ཀློང་རྡོལ་རི་ཁྲོད།
307,27.595647,89.626837,5,Cheri Monastery,ལྕགས་རི།
308,27.593052,89.638776,5,Tango,རྟ་མགོ།
309,,,5,Bangri Jokpo,བང་རི་འཇོག་པོ།
310,,,5,Dar Chode,འདར་ཆོས་སྡེ།
311,,,5,Ladring Chode,བླ་འབྲིང་ཆོས་སྡེ།
312,29.50162,91.05206,5,Nyima Tang Monastery,ཉི་མ་ཐང་དགོན།
314,29.70326,91.14464,5,Khardo Hermitage,མཁར་རྡོ་རི་ཁྲོད།
315,29.75786,91.47462,5,Jangtse,བྱང་རྩེ་།
316,29.65869,91.12968,5,Gyuto,རྒྱུད་སྟོད།
317,29.880627,91.828872,5,Takpu Chode,སྟག་ཕུ་ཆོས་སྡེ།
318,,,5,Meldro Chakar,མལ་གྲོ་ཆ་དཀར།
319,29.75878,91.4767,5,Shartse College,ཤར་རྩེ་གྲྭ་ཚང་།
321,29.70283,91.14822,5,Rakadrak Hermitage,ར་ཁ་བྲག་རི་ཁྲོད།
322,29.705515,91.138730,5,Sera Utse,སེ་ར་དབུ་རྩེ།
323,,,5,Drula,འབྲུ་ལ།
324,,,5,Taktse Rinchen Gang,སྟག་རྩེ་རིན་ཆེན་སྒང་།
325,29.64535,90.93782,5,Kyormolung,སྐྱོར་མོ་ལུང་།
326,,,5,Drakwar Monastery,བྲག་དབར་དགོན།
327,30.3106113,91.5134729,2,Reting,རྭ་སྒྲེང་།
331,29.75525,90.65135,5,Nenang,གནས་ནང་།
333,29.30000,87.23333,2,Ngamring Chode,ངམ་རིང་ཆོས་སྡེ།
334,29.00997,91.66037,5,Riwo Dechen,རི་བོ་བདེ་ཆེན།
335,,,5,Rinchen Drak,རིན་ཆེན་བྲག།
339,36.21907,102.57204,5,Tangring Monastery,ཐང་རིང་དགོན་པ།
340,36.85000,102.05000,3,Chubzang,ཆུ་བཟང་།
342,29.676708,91.048383,5,Gomang,སྒོ་མང་།
343,29.67119,91.35907,5,Dechen Sangngak Khar,བདེ་ཆེན་གསང་སྔགས་མཁར།
344,29.25000,88.85000,4,Shartse Dratsang,ཤར་རྩེ་གྲྭ་ཚང་།
345,37.05548,101.49820,5,Ganden Rinchen Ling,དགའ་ལྡན་རིན་ཆེན་གླིང་།
346,36.57999,102.48028,5,Pari Tashi Choling,དཔའ་རི་བཀྲ་ཤིས་ཆོས་གླིང་།
348,29.698857,91.133409,5,Sera Je,སེ་ར་བྱེས།
349,29.697918,91.132078,5,Sera Me,སེ་ར་སྨད།
352,31.483,79.798,1,Toling,མཐོ་ལྡིང་།
353,,,5,To Jayul Monastery,སྟོད་བྱ་ཡུལ་དགོན་པ།
354,34.59525,103.50381,2,Chone,ཅོ་ནེ།
355,29.676052,91.047650,5,Loseling,བློ་གསལ་གླིང་།
357,,,5,Pakmo Chode,ཕག་མོ་ཆོས་སྡེ།
358,36.14838,101.876924,2,Jakhyung,བྱ་ཁྱུང་།
360,34.70963,103.79801,5,Tsador,ཚ་རྡོར།
361,34.56912,102.55889,5,Shitsang Gonsar,ཤིས་ཚང་དགོན་གསར།
362,34.25134,101.27828,5,Ngulra,དངུལ་རྭ།
363,34.08551,102.63381,5,Ganden Shedrub Pekar Drolwai Ling,དགའ་ལྡན་བཤད་སྒྲུབ་པད་དཀར་གྲོལ་བའི་གླིང་།
364,34.98443,102.90041,5,Tso Gon Ganden Choling,གཙོས་དགོན་དགེ་ལྡན་ཆོས་གླིང་།
365,34.52444,102.84644,5,Mokru,རྨོག་རུ།
367,32.63323,103.10249,2,Muge Tashikhorlo,དམུ་དགེ་བཀྲ་ཤིས་འཁོར་ལོ།
368,33.00094,101.60638,2,Gomang,སྒོ་མང་།
369,27.86356,99.70452,2,Gyeltang,རྒྱལ་ཐང་།
370,,,5,Evaṃ Monastery,ཨེ་ཝཾ་དགོན༏་།
371,27.580195,90.774878,2,Petseling,པད་ཚལ་གླིང་།
372,35.654354,102.648981,4,Gori,དགོ་རི།
373,36.35462,102.29636,5,Drotsang,གྲོ་ཚང་དགོན།
374,35.508347,102.011267,1,Rongwo,རོང་བོ།
375,36.2347082,101.6917549,5,Ditsa Tashi Choding,དྷི་ཚ་བཀྲ་ཤིས་ཆོས་སྡིང་།
376,27.487683,89.899364,5,Wangdue Phodrang Dzong,དབང་འདུས་ཕོ་བྲང་རྫོང་།
378,,,5,Tubten Jago Pungpo,ཐུབ་བསྟན་བྱ་རྒོད་ཕུང་པོ།
380,27.550583,89.822727,5,Talo Sangngak Choling,རྟ་ལོག་གསང་སྔགས་ཆོས་གླིང་།
382,27.484303,90.165182,5,Gangteng,སྒང་སྟེང་།
383,27.504049,90.748764,5,Trakar Lhakhang,སྤྲ་མཁར་ལྷ་ཁང་།
385,27.251120638023302,89.54917742883593,5,Tsamdrak Monastery,མཚམས་བྲག་དགོན།
387,27.49003,89.634874,5,Tashichoedzong,བཀྲ་ཤིས་ཆོས་རྫོང་།
392,27.408259,89.399347,5,Gorina,གོ་རི་ན།
393,27.441119,89.376498,5,Kyichu Lhakhang,སྐྱིད་ཆུ་ལྷ་ཁང་།
396,35.64013,102.20000,5,Shel Monastery,ཤེལ་དགོན།
