person_id,tbrc_id,default_name,tradition_id
8618,P6042,"Kunzang Pema Trinle",1
8624,P6048,"Tubten Gyeltsen Wozer",1
8625,P6049,"Drime Wosel Lingpa",1
8629,P6052,"Pema Trinle",1
8633,P6056,"Hor Donyon Rinpoche",1
8650,P6071,"Namtrul Jigme Puntsok",1
8651,P6072,"Khandro Tāre Lhamo",1
8675,P6095,"Nangdze Dorje",1
8754,P6169,"Dongak Tendzin",1
8757,P6172,"Dongak Chokyi Nyima",1
8782,P620,"Shākya Shrī",1
8868,P629,"Jomo Menmo",1
8912,P633,"Nyima Bum",1
8964,P638,"Sherab Wozer",1
8975,P639,"Ngakgi Wangpo",1
9052,P646,"Tashi Tobgyel",1
9062,P647,"Peljor Lhundrub",1
9121,P6525,"Nyak Jñānakumara",1
9126,P653,"Pema Rigdzin",1
9141,P6543,"Yeshe Yang",1
9158,P656,"Garwang Dorje",1
9169,P657,"Pema Trinle",1
9190,P659,"Namcho Mingyur Dorje",1
9201,P66,"Rangjung Dorje",1
9203,P6600,"Yonten Gonpo",1
9213,P661,"Tenpai Gyeltsen",1
9254,P665,"Pelden Tashi",1
9297,P669,"Pema Dechen Lingpa",1
9361,P675,"Lobzang Trinle",1
9372,P676,"Rigdzin Tsewang Norbu",1
9383,P677,"Gyurme Tekchok Tendzin",1
9394,P678,"Mingyur Peldron",1
9513,P689,"Kelzang Pema Wangchuk",1
9525,P690,"Gyurme Kunzang Namgyel",1
9546,P692,"Pema Tekchok Tenpai Gyeltsen",1
9572,P6943,"Zangpo Drakpa",1
9574,P6945,"Drime Kunga",1
9579,P695,"Jigme Gyelwai Nyugu",1
9585,P6955,"Pema Tekchok Loden",1
9588,P6958,"Tubten Nyendrak",1
9589,P6959,"Chime Yeshe",1
9590,P696,"Changlung Pelchen Namkha Jigme",1
9593,P6962,"Kunzang Pelden",1
9594,P6963,"Kunga Pelden",1
9601,P697,"Gyelse Zhenpen Taye Wozer",1
9618,P6986,"Lhalung Pelgyi Dorje",1
9622,P699,"Khenpo Zhenga Zhenpen Chokyi Nangwa",1
9624,P6991,"Denma Tsemang",1
9646,P701,"Tubten Chokyi Dorje",1
9884,P723,"Pema Tekchok Tenpai Gyeltsen",1
9923,P7269,"Namdrol Zangpo",1
9929,P7274,"Khenpo Munsel",1
9945,P7289,"Choying Khyabdel",1
10018,P7359,"Rigdzin Pelchen Dupa",1
10068,P7404,"Ngedon Tendzin Zangpo",1
10083,P742,"Sera Khandro Kunzang Dekyong Wangmo",1
10146,P748,"Tubten Tsondru",1
10169,P750,"Jikdrel Jangchub Dorje",1
10171,P7502,"Ngawang Drakpa",1
10258,P7589,"Layakpa Jangchub Ngodrub",1
10311,P7637,"Katokpa Tulku Sonam Gyeltsen",1
10315,P7640,"Jampa Jungne",1
10372,P7694,"Lama Monlam Rabzang",1
10373,P7695,"Yeshe Tsogyel",1
10412,P7732,"Mingyur Pende Gyatso",1
10413,P7733,"Jigme Choying Dorje",1
10422,P7742,"Khyungdrak Dorje",1
10442,P7760,"Humrel Dung Dung Gyelchok",1
10497,P782,"Lowo Khenchen Sonam Lhundrub",1
10531,P7852,"Pajo Drukgom Zhikpo",1
10536,P7857,"Taktsang Repa Ngawang Gyatso",1
10546,P7868,Buddhaguhya,1
10571,P7892,"Jangchub Sengge",1
10572,P7893,"Lodro Sengge",1
10573,P7894,"Tsangton Dorje Gyeltsen",1
10617,P7933,"Rigpai Reltri",1
10649,P7964,"Kunga Bum",1
10654,P7969,"Jangchub Bumpa",1
10656,P7970,"Sonam Zangpo",1
10658,P7972,"Lodro Bum",1
10659,P7973,"Wangchuk Pel",1
10811,P8116,"Wencheng Kongjo",1
10827,P8132,"Pema Sangngak Tendzin",1
10828,P8133,"Namkha Tsewang Chokdrub",1
10832,P8137,"Namkha Wosel",1
10881,P8182,"Kawa Peltsek",1
10904,P8205,"Nanam Yeshe De",1
11003,P8297,"Jampel Gyepai Dorje",1
11117,P8402,"Drokmi Pelgyi Yeshe",1
11278,P8553,"Shedrub Gyatso",1
