community_id,person_id
1705,2992
1258,"10961; 13188; 13221"
1037,9442
40,"2339; 2392; 2393; 2399; 2527; 2755; 2788; 2945; 2948; 2953; 2974; 2996; 3008; 3296; 3307; 3735; 3739; 3758; 3889; 4077; 5328; 5338; 5436; 5479; 5490; 5729; 5897; 5902; 6161; 6419; 6526; 7162; 7929; 8861; 8986; 9712; 9983; 12828; 13173; 13179; 13180; 13510; 13744"
925,9712
1175,"7641; 13572"
536,"4163; 4380; 5328; 10394"
1194,7162
1113,8754
1453,"10355; 11385; 12180"
1656,8972
1712,9083
114,"2137; 11307"
1267,"10961; 13596"
393,8343
995,"4170; 11307"
1651,2424
987,13078
1338,4358
325,"4276; 5432; 6351; 8354; 9693; 9795"
1163,"2899; 4611; 6856; 8454; 10536; 10835; 13240"
1523,6646
1522,"2784; 7882"
922,"2758; 7881"
920,"2943; 2996"
921,"2996; 13731"
1220,"4217; 4219; 5408"
41,"1901; 2235; 2237; 2238; 2409; 2436; 2495; 2506; 2521; 2758; 2784; 2787; 2788; 2943; 2948; 2949; 2953; 2996; 3008; 3064; 3074; 3080; 3086; 3134; 3296; 3733; 3758; 3769; 3866; 3889; 4196; 4607; 4642; 4720; 4730; 5338; 5410; 5436; 5490; 5889; 5902; 5910; 6025; 6045; 6110; 6198; 6350; 6353; 6502; 6505; 6529; 6535; 6536; 6622; 6634; 6646; 6731; 6760; 6818; 6928; 6929; 7105; 7107; 7170; 7876; 7876; 7877; 7879; 7882; 7937; 8069; 8128; 8184; 9523; 12171; 13176; 13547; 13731; 13866"
1479,"7007; 10355"
1578,13865
1517,"12839; 13686; 13748; 13749; 13750"
1685,9764
311,6219
1672,10019
821,10199
401,"2436; 2527; 2974; 3061; 3062; 3064; 3296; 3769; 6099; 6161; 8860; 8861; 13175; 13176"
537,10857
1018,6770
447,"2051; 11883; 13186; 13806"
199,"6285; 10644"
527,"2953; 10093; 10457; 13810; 13819"
1435,"3436; 3627; 9612"
828,5588
945,13440
1056,8574
189,12521
1324,9361
1613,13697
75,6547
576,7775
1339,"4358; 9278; 13654"
390,7895
127,"4164; 10355; 10811; 12743"
937,"5626; 7545"
1516,"12839; 13686; 13692; 13747"
529,"2665; 5511; 9618; 13128"
1560,13725
1221,"3307; 11114; 11437"
187,13026
877,"2953; 3152; 3169; 3182; 3307; 3736; 3822; 3866; 4168; 4358; 5805; 5824; 5897; 6009; 6065; 6076; 6646; 7162; 7305; 8455; 8538; 8964; 8986; 9105; 9469; 10811; 12980; 13652; 13683; 13724; 13805; 13816"
129,2789
1205,"2683; 9201"
425,9062
286,"2328; 3778; 13096"
