historical_period_facet_id,person_id,default_name,birth_year,death_year,birth_approx,death_approx,historical_period_id,historical_period_name
11395,8651,"Khandro Tāre Lhamo",1938,2002,0,0,77,"20th Century"
11463,2943,"Konchok Gyatso",1896,1960,0,0,77,"20th Century"
11531,8536,"Jamyang Gyeltsen",1929,1999,0,0,77,"20th Century"
11690,3735,"Lobzang Jigme Tsultrim Gyatso",1891,1909,0,0,77,"20th Century"
11691,3738,"Lobzang Tubten Lungtok Shedrub Gyatso",1910,1920,0,0,77,"20th Century"
11693,3739,"Lobzang Jangchub Tendzin Gyatso",1921,1983,0,0,77,"20th Century"
11704,10815,"Gaton Ngawang Lekpa",1867,1941,0,0,77,"20th Century"
11837,8757,"Dongak Chokyi Nyima",1854,1906,0,0,77,"20th Century"
11943,11278,"Shedrub Gyatso",NULL,NULL,0,0,77,"20th Century"
11953,10018,"Rigdzin Pelchen Dupa",1887,1932,0,0,77,"20th Century"
11970,4185,"Jigme Tenpai Nyima",1865,1926,0,0,77,"20th Century"
12032,13139,"Ayu Khandro Dorje Peldron",1839,1953,0,0,77,"20th Century"
12094,11603,"Jazi Amnye Drodul Pema Garwang Lingpa",1901,1975,0,0,77,"20th Century"
12146,13111,"Jampa Taye",1894,1949,0,0,77,"20th Century"
12165,7870,"Jampa Chodrak",1876,1937,0,0,77,"20th Century"
12246,13510,"Agvan Dorjiev",1854,1938,0,0,77,"20th Century"
12464,13105,"Lobzang Namgyel Tendzin Lhundrub",1894,1950,0,0,77,"20th Century"
12538,8566,"Jampel Dorje",NULL,NULL,0,0,77,"20th Century"
12619,13148,"Konchok Tenpai Gyeltsen",1900,1952,1,1,77,"20th Century"
12623,10372,"Lama Monlam Rabzang",1878,1945,0,0,77,"20th Century"
12692,13181,"Tubten Tsultrim Gyatso",NULL,NULL,0,0,77,"20th Century"
12697,13186,"Pema Trinle",1874,1950,0,0,77,"20th Century"
12706,8618,"Kunzang Pema Trinle",NULL,NULL,0,0,77,"20th Century"
12767,9050,"Tubten Nyinje",NULL,1933,0,0,77,"20th Century"
12785,9056,"Lobzang Nyendrak Gyatso",NULL,1920,0,1,77,"20th Century"
12790,9589,"Chime Yeshe",NULL,NULL,0,0,77,"20th Century"
12906,13128,"Tekchok Tenpai Gyeltsen",1951,2010,0,0,77,"20th Century"
12966,3794,"Ngawang Jigme Khenrab Tendzin Trinle",1864,1923,0,0,77,"20th Century"
12974,6978,"Ngawang Lobzang Tenpai Gyeltsen",1864,1919,0,0,77,"20th Century"
13046,9171,"Choden Zangmo",1885,1958,0,0,77,"20th Century"
13140,3770,"Tamdrin Lhamo",1923,1979,0,0,77,"20th Century"
13199,13613,"Nene Metokma",NULL,NULL,0,0,77,"20th Century"
13238,13520,"Nyima Pangdatsang",1883,1943,0,1,77,"20th Century"
13334,9593,"Kunzang Pelden",1862,1943,0,0,77,"20th Century"
13348,3296,"Gendun Tendzin Gyatso",1852,1912,0,0,77,"20th Century"
13382,13162,"Garwang Lerab Lingpa",1930,1959,0,0,77,"20th Century"
13455,8538,"Lerab Lingpa",1856,1926,0,0,77,"20th Century"
13474,13072,"Gara Lama Sonam Rabten",1865,1936,0,0,77,"20th Century"
13519,10315,"Jampa Jungne",1856,1922,0,0,77,"20th Century"
13577,9945,"Choying Khyabdel",1920,1997,0,0,77,"20th Century"
13587,11741,"Khenchen Dazer",1922,1990,0,0,77,"20th Century"
13774,13120,"Drodul Dorji Tenzin",1927,2005,0,0,77,"20th Century"
13923,7879,"Jamyang Tenpai Nyima",1860,1925,0,0,77,"20th Century"
14016,9585,"Pema Tekchok Loden",1879,1955,0,0,77,"20th Century"
14087,13099,"Ngawang Tenpai Jungne Trinle Chokyi Gyeltsen",1861,1914,0,0,77,"20th Century"
14161,13143,"Orgyen Tenpai Nyinje",1875,1905,0,0,77,"20th Century"
14167,8625,"Drime Wosel Lingpa",NULL,NULL,0,0,77,"20th Century"
14179,5078,"Gyurme Wosel",1890,1920,1,1,77,"20th Century"
14194,5117,"Konchok Yeshe Wozer",1892,1958,0,0,77,"20th Century"
14204,13171,"Lobzang Tubten Jigme Tsultrim Gyatso",1896,1934,0,0,77,"20th Century"
14240,5024,"Ngawang Norbu",1866,1958,0,0,77,"20th Century"
14269,13127,"Ngawang Tenzin Gyatso",1883,1966,0,0,77,"20th Century"
14281,13150,"Zhonnu Lodro",1937,1959,0,0,77,"20th Century"
14305,13176,"Lobzang Shedrub Tendzin Gyatso",1914,1952,0,0,77,"20th Century"
14330,8650,"Namtrul Jigme Puntsok",1944,2011,0,0,77,"20th Century"
