TOL Source ID,Source,PLACE ID,Source Display,Pages,BDRC ID,VIAF ID,OCLC ID,url other,Source Lang Tag,Source Display Lang Tag
8,,1318,"<p>&#39;jigs med bsam grub. &nbsp;1995.&nbsp;<em>dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>. TBRC W19997. 3 vols. pe cin: krung go&#39;i bod kyi shes rig dpe skrun khang, vol. 1, p. 141.</p>",141,MW19997,,,,,
8,,826,"<p>&#39;jigs med bsam grub. 1995. <em>dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>. pe cin: krung go&#39;i bod kyi shes rig dpe skrun khang, vol. 3, pp. 171-174.</p>",171-174,MW19997,,,,,
8,,1404,"<p>&#39;Jigs med bsam grub. 1995. <em>Sga len dgon pa (sde dge rdzong)</em>. In <em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 1, pp. 456-458. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang.</p>",456-458,MW19997,,,,,
8,,421,"<p>&#39;jigs med bsam grub. 1995.&nbsp;<em>dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>. 3 vols. pe cin: krung go&#39;i bod kyi shes rig dpe skrun khang, v. 1, pp. 122-131.</p>",122-131,MW19997,,,,,
8,,1450,"<p>&#39;Jigs med bsam grub. 1995.&nbsp;<em>Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang, vol. 1, p. 577.</p>",577,MW19997,,,,,
8,,1341,"<p><em>dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, Vol. 2. 1995. reb gong pa &#39;jigs med bsam grub, ed. pe cin: krung go&#39;i bod kyi shes rig dpe skrun khang, pp. 549-550</p>",549-550,MW19997,,,,,
8,,1242,"<p><em>dKar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 198.&nbsp;</p>",198,MW19997,,,,,
8,,1277,"<p><em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 252.&nbsp;</p>",252,MW19997,,,,,
8,,266,"<p>1995. <em>Dar rgyas dgon gyi lo rgyus</em>. In <em>Khams phyogs dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa</em>, vol. 1, pp. 40&ndash;51. Beijing: Krung go&#39;i bod kyi shes rig dpe skrun khang.</p>",40-51,MW19997,,,,,
8,,1743,"<p>1995. <em>Khams phyogs dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa thub bstan gsal ba&#39;i me long</em>, vol. 3, pp. 293-297.</p>",293-297,MW19997,,,,,
8,,43,"<p>1995. dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, vol. 1. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, pp. 140-147.</p>",140-147,MW19997,,,,,
8,,1747,"<p>1995. nyag TAik+ka drug bstod dgon. In Dkar mdzes khul gyi dgon sde so so&#39;i lo rgyus gsal bar bshad pa, vol. 1, pp. 314-322. Beijing: Krung go&#39;i bod kyi shes rig dpe skrung khang.</p>",314-322,MW19997,,,,,
8,,351,"<p>
Reb gong pa ʼjigs med bsam grub (Ed.). (1995). Yang steng dgon (ʼdab pa rdzong). In <em>dKar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em> (Vol. 3, pp. 524&ndash;532). Krung goʼi bod kyi shes rig dpe skrun khang</p>",,MW19997,,,,,
9,,1018,"<p>
Zhang zhung chos dbang grags pa. 2006. <em>Zhang zhung chos dbang grags paʼi bstod tshogs. Sangs rgyas mkhar gyis legs sgrig byas</em>. 1 vols. Lan Chou: Kan Su&rsquo;u Mi Rigs Dpe Skrun Khang, p. 3.</p>",3,MW1CZ2423,,,,,
10,,1335,"<p>
rdzogs chen dgon dang rdzogs chen pa rim byon/. 2003.1 vols. sde dge rdzong /: rdzogs chen shrI seng lnga rig nang bstan slob grwa/, p. 6. </p>",6,MW1CZ2507,,,,,
11,,952,"<p>
Tā la&#39;i bla ma 02 dge ʼdun rgya mtsho. &ldquo;rDo rje ʼchang kun dgaʼ rgyal mtshan dpal bzang poʼi zhal snga nas kyi rnam par thar pa la gsol ba ʼdebs pa.&rdquo; In<em> gSung ʼbum dge ʼdun rgya mtsho</em>, pp. 233&ndash;36. Dharamsala: Library Of Tibetan Works &amp; Archives, 2006.</p>",233-236,MW1CZ2857,,,,,
12,,1259,"<p>
1995. <em>dpal ldan bla ma dam pa ku mā ra ma ti&#39;zhal snga nas kyi rnam par thar pa mdo tsam du bya ba ngo mtshar bkod pa&#39;i sprin gyi rnga sgra</em>, 3rd ed. New Delhi: Nagwang Topgyel, p. 385</p>",385,MW1GS140233,,,,,
13,,416,"<p>
1995. <em>kan lho&#39;i bod brgyud nang bstan dgon sde so so&#39;i lo rgyus mdor bsdus</em>. Lan kru&#39;u: Kan lho&#39;i lo rgyus dpyad gzhi&#39;i yig rigs cus, p. 121.&nbsp;",121,MW1GS49973,,,,,
13,,409,"<p>1995. <em>kan lho&#39;i bod brgyud nang bstan dgon sde so so&#39;i lo rgyus mdor bsdus</em>. Lan kru&#39;u: Kan lho&#39;i lo rgyus dpyad gzhi&#39;i yig rigs cus,&nbsp;v. 2, p. 235.</p>",235,MW1GS49973,,,,,
14,,396,"<p>
chu skyes dge &#39;dun dpal bzang. 2007. <em>reb gong yul skor zin tho</em>. lan kru&#39;u: kan su&#39;u mi rigs dpe skrun khang, p. 232.</p>",232,MW1GS91829,,,,,
15,,1227,"<p>
Blo gros mtha&#39; yas. 2007-2008.&nbsp;<em>Rin chen gter mdzod chen mo</em>. New Delhi: Shechen Publications, Vol. 13, p. 362.</p>",362,MW1KG14,,,,,
16,,915,"<p>
Chos lo thar. 2000. <em>Lha sa man rtsis khang gi gdan rab dri med shel gyi me long</em>. 1 Vols. Dharamasala, H.P.: bod gzhung sman rtsis khang. </p>",,MW1KG22207,,,,,
16,,1530,"<p>
Chos lo thar. 2000. <em>Lha sa man rtsis khang gi gdan rab dri med shel gyi me long</em>. 1 Vols. Dharamasala, H.P.: bod gzhung sman rtsis khang.</p>",,MW1KG22207,,,,,
17,,411,"<p>
Tshul khrims bzang po. 2016.<em> sTong ʼkhor chos ʼbyung lhaʼi rgyud mang</em>. Par gzhi dang po, Tongkhor Shabdrung Ladrang.</p>",,MW1KG26067,,,,,
18,,445,"<p>
Dhongthog Rinpoche. 1974. <em>Ma bcos dngos &#39;brel brjod pa dus kyi sbrang char.</em> New Delhi, T. D. Dhongthog Rinpoche, p. 61.&nbsp;</p>",61,MW1KG26091,,,,,
